iter	Passed	Remaining
915	7120	4539
916	7128	4531
917	7135	4523
918	7142	4515
919	7150	4507
920	7157	4499
921	7165	4491
922	7172	4484
923	7179	4475
924	7187	4467
925	7195	4459
926	7202	4451
927	7210	4444
928	7218	4436
929	7225	4428
930	7233	4420
931	7241	4413
932	7248	4404
933	7256	4397
934	7263	4388
935	7270	4381
936	7277	4372
937	7284	4364
938	7291	4356
939	7298	4348
940	7306	4340
941	7313	4332
942	7321	4324
943	7328	4316
944	7336	4308
945	7343	4300
946	7351	4292
947	7359	4284
948	7366	4276
949	7373	4269
950	7381	4260
951	7388	4253
952	7395	4245
953	7403	4236
954	7410	4229
955	7418	4221
956	7426	4213
957	7434	4205
958	7441	4197
959	7448	4189
960	7455	4181
961	7462	4173
962	7470	4165
963	7478	4158
964	7485	4150
965	7492	4141
966	7500	4134
967	7507	4126
968	7515	4118
969	7522	4110
970	7530	4102
971	7537	4094
972	7544	4086
973	7552	4078
974	7559	4070
975	7566	4062
976	7575	4055
977	7582	4046
978	7589	4039
979	7597	4031
980	7605	4023
981	7611	4015
982	7618	4007
983	7625	3998
984	7632	3990
985	7640	3982
986	7647	3975
987	7654	3966
988	7661	3958
989	7668	3950
990	7675	3942
991	7683	3934
992	7690	3926
993	7697	3918
994	7705	3910
995	7712	3902
996	7719	3894
997	7727	3886
998	7734	3878
999	7741	3870
1000	7748	3862
1001	7755	3854
1002	7762	3846
1003	7770	3838
1004	7777	3830
1005	7784	3822
1006	7792	3814
1007	7799	3807
1008	7807	3799
1009	7814	3791
1010	7821	3783
1011	7828	3774
1012	7835	3766
1013	7843	3759
1014	7850	3751
1015	7858	3743
1016	7865	3735
1017	7872	3727
1018	7880	3719
1019	7887	3711
1020	7895	3704
1021	7903	3696
1022	7910	3688
1023	7917	3680
1024	7925	3672
1025	7932	3664
1026	7940	3657
1027	7947	3649
1028	7955	3641
1029	7963	3633
1030	7970	3625
1031	7977	3617
1032	7985	3609
1033	7992	3602
1034	7999	3594
1035	8007	3586
1036	8014	3578
1037	8021	3570
1038	8028	3562
1039	8035	3554
1040	8043	3546
1041	8050	3538
1042	8058	3530
1043	8065	3522
1044	8072	3514
1045	8079	3506
1046	8086	3498
1047	8093	3490
1048	8100	3482
1049	8108	3474
1050	8115	3466
1051	8122	3458
1052	8129	3450
1053	8136	3442
1054	8143	3434
1055	8150	3426
1056	8156	3418
1057	8163	3410
1058	8170	3402
1059	8177	3394
1060	8185	3386
1061	8192	3378
1062	8200	3371
1063	8207	3363
1064	8214	3355
1065	8222	3347
1066	8229	3339
1067	8236	3331
1068	8242	3323
1069	8249	3315
1070	8257	3307
1071	8264	3299
1072	8271	3291
1073	8277	3283
1074	8284	3275
1075	8290	3267
1076	8298	3259
1077	8305	3251
1078	8312	3243
1079	8319	3235
1080	8325	3227
1081	8332	3219
1082	8339	3211
1083	8347	3203
1084	8354	3195
1085	8361	3187
1086	8369	3179
1087	8375	3171
1088	8383	3163
1089	8390	3156
1090	8398	3148
1091	8405	3140
1092	8412	3132
1093	8419	3124
1094	8426	3116
1095	8434	3109
1096	8441	3101
1097	8449	3093
1098	8456	3085
1099	8463	3077
1100	8470	3069
1101	8477	3061
1102	8485	3053
1103	8492	3046
1104	8500	3038
1105	8507	3030
1106	8515	3023
1107	8523	3015
1108	8531	3007
1109	8539	3000
1110	8549	2993
1111	8558	2986
1112	8567	2978
1113	8575	2971
1114	8583	2963
1115	8590	2955
1116	8597	2947
1117	8605	2940
1118	8612	2932
1119	8619	2924
1120	8626	2916
1121	8634	2908
1122	8640	2900
1123	8647	2892
1124	8654	2884
1125	8660	2876
1126	8667	2868
1127	8674	2860
1128	8682	2853
1129	8689	2845
1130	8698	2837
1131	8704	2829
1132	8711	2821
1133	8718	2813
1134	8725	2806
1135	8732	2798
1136	8740	2790
1137	8748	2783
1138	8756	2775
1139	8764	2767
1140	8771	2759
1141	8778	2751
1142	8785	2743
1143	8793	2736
1144	8800	2728
1145	8807	2720
1146	8815	2712
1147	8821	2704
1148	8829	2697
1149	8835	2689
1150	8842	2681
1151	8849	2673
1152	8856	2665
1153	8863	2657
